Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Material,Occasion,Pattern,Sole Material,Sustainable,Type,Warranty,BIS Certificate Image URL,BIS Certificate Number,BIS Expiry Date,Character,Contact Brand or Retailer for pre-sales product queries
KazarMax,Girls Blue & Pink Flamingo Pop Art Printed Comfort Sandals,₹899,MRP ₹1999,(55% OFF),4.7,52 Ratings,"A pair of blue comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Printed,EVA,Regular,Clogs,1 month,https://www8.pdf2go.com/v2/dl/web7/download-file/1283c850-85b6-4446-bc0f-40c8727b13f2/9512516619.jpg,CML:9512516619,05/03/2025,,
KazarMax,Girls Blue & Pink Flamingo Pop Art Printed Comfort Sandals,₹899,MRP ₹1999,(55% OFF),4.7,52 Ratings,"A pair of blue comfort sandals
Synthetic upper with slip-on closure
Cushioned footbed
Patterned eva outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Printed,EVA,Regular,Clogs,1 month,https://www8.pdf2go.com/v2/dl/web7/download-file/1283c850-85b6-4446-bc0f-40c8727b13f2/9512516619.jpg,CML:9512516619,05/03/2025,,
NEOZ,Kids Embellished Rubber Clogs,₹767,MRP ₹1599,(52% OFF),4.5,286 Ratings,"A pair of red and black embellished clogs
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Embellished,EVA,Regular,Clogs,,,,,,
Bubblegummers,Kids Applique Detail Clogs,₹854,MRP ₹899,(5% OFF),4.2,13 Ratings,"A pair of navy blue,yellow and red applique detail clogs 
Rubber upper
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Crocs,Kids Solid Clogs with Backstrap,₹2621,MRP ₹3495,(25% OFF),4.7,34 Ratings,"A pair of pink solid clogs
Croslite upper with backstrap closure 
Cushioned footbed
Patterned croslite outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Croslite,Casual,Solid,Croslite,Regular,Clogs,3 months,https://assets.myntassets.com/assets/images/2024/8/20/2d300942-12bc-4d2b-99d5-1187e180dd661724146783783-Myntra-BIS-declaration-AG-stamped_page-0001.jpg,1234567,31/07/2026,,
Bubblegummers,Kids Rainbow Applique Clogs,₹827,MRP ₹899,(8% OFF),4.2,13 Ratings,"A pair of pink and yellow rainbow applique clogs
Rubber upper with slip-on closure
Cushioned footbed
Patterned eva outsole",Rubber,Casual,Self Design,EVA,Regular,Clogs,,,,,,
Little Surprise Box LLP,Kids Self Design Rubber Sliders,₹945,MRP ₹1750,(46% OFF),4.2,5 Ratings,"A pair of green and orange-coloured self design sliders
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Self Design,Rubber,Regular,Sliders,,,,,,
Baby Moo,Kids Colourblocked Waterproof Anti-Skid Sliders,₹764,MRP ₹899,(15% OFF),4.3,127 Ratings,"A pair of green and white colourblocked sliders ,has regular styling
Plastic upper
Cushioned footbed
Textured and patterned outsole

Features:
Waterproof
Anti-skid",Plastic,Casual,Colourblocked,Rubber,Regular,Sliders,,,,,,
Baby Moo,Kids Swimming Duck Waterproof Anti-Skid Clogs,₹849,MRP ₹999,(15% OFF),4.6,39 Ratings,"A pair of cream-coloured and orange swimming duck clogs
Plastic upper
Cushioned footbed
Textured and patterned outsole

Features:
Waterproof 
Anti-Skid",Plastic,Casual,Self Design,EVA,Regular,Clogs,,,,,,
BAESD,Kids Croslite Clogs,₹624,MRP ₹2499,(75% OFF),4.5,30 Ratings,"A pair of green and red clogs
EVA upper with slip-on closure
Cushioned footbed
Patterned croslite outsole",Croslite,Casual,Self Design,EVA,Regular,Clogs,,,,,,
NEOZ,Kids Jibbitz Embellished Clogs,₹767,MRP ₹1599,(52% OFF),4.6,193 Ratings,"A pair of navy blue and red jibbitz embellished clogs
Synthetic upper with slip-on closure
Cushioned footbed
Patterned synthetic outsole",Synthetic,Casual,Embellished,Synthetic,Regular,Clogs,,,,,,
BAESD,Unisex Kids Embellished Clogs Sandals,₹649,MRP ₹2499,(74% OFF),4.4,26 Ratings,"A pair of blue and brown printed clogs
EVA upper with slip-on closure
Cushioned footbed
Patterned croslite outsole",Croslite,Casual,Printed,EVA,Regular,Clogs,,,,,Tom & Jerry,
Little Surprise Box LLP,Kids Printed Sliders,₹750,MRP ₹1250,(40% OFF),4.6,8 Ratings,"A pair of blue and white printed sliders
Rubber upper
Cushioned footbed
Patterned rubber outsole",Rubber,Casual,Printed,Rubber,Regular,Sliders,,,,,,
Puma,Kids Printed Bobble Thong Flip-Flops,₹487,MRP ₹799,(39% OFF),4.5,142 Ratings,"A pair of red and yellow printed thong flip-flops
Synthetic upper
Cushioned footbed
Patterned rubber outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Synthetic,Casual,Printed,Rubber,Regular,Thong Flip-Flops,3 months,https://assets.myntassets.com/assets/images/2024/8/19/b980d608-95eb-48a0-8657-e5f40c2f7d291724051134951-PUMA-22_page-0001.jpg,1234567,31/07/2026,,
Red Tape,Kids Embellished Clogs,₹839,MRP ₹2799,(70% OFF),3.7,6 Ratings,"A pair of black and red Embellished Clogs
Pu upper
Cushioned footbed
Patterned eva outsole
Warranty: 45 days
Warranty provided by brand owner/manufacturer",PU,Casual,Embellished,EVA,Regular,Clogs,45 days,,,,,
BAESD,Kids Printed Clogs,₹624,MRP ₹2499,(75% OFF),3.9,15 Ratings,"A pair of black and red printed clogs
EVA upper with slip-on closure
Cushioned footbed
Patterned croslite outsole",Croslite,Casual,Printed,EVA,Regular,Clogs,,,,,,
mothercare,Girls Printed Clogs,₹899,MRP ₹999,(10% OFF),3.6,5 Ratings,"A pair of round toe pink clogs ,has regular styling,
Pu upper
Cushioned footbed
Textured and patterned outsole",PU,Casual,Printed,EVA,Regular,Clogs,,,,,,
KazarMax,Girls Navy Blue & Red Self Design Clogs,₹959,MRP ₹1999,(52% OFF),4.3,146 Ratings,"A pair of navy blue and red self design clogs
Synthetic upper
Cushioned footbed
Patterned eva outsole
Warranty: 1 month",Synthetic,Casual,Self Design,EVA,Regular,Clogs,1 month,https://www8.pdf2go.com/v2/dl/web7/download-file/1283c850-85b6-4446-bc0f-40c8727b13f2/9512516619.jpg,CML:9512516619,05/03/2025,,
