Title,Name,Price,MRP,Discount,Rating,Ratings Count,Description,Type,Toe Shape,Fastening and Back Detail,Pattern,Occasion,Ornamentation,Ankle Height,Sole Material,Warranty
JM Looks,Women Lace-Ups Mules Flats,₹997,MRP ₹1995,(50% OFF),4.5,113 Ratings,"A pair of silver-toned mules
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Mules,Pointed Toe,Lace-Ups,Colourblocked,Casual,Ethnic - Embellished,Regular,Resin,1 month
DressBerry,Women Hand Crafted kolha Flats,₹594,MRP ₹1699,(65% OFF),4.3,2.6k Ratings,"A pair of tan Flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Mules,Square Toe,No Back Strap,Solid,Casual,Buckles,Regular,Rubber,
BAESD,Girls Printed Bow Detailed LED Ballerinas,₹774,MRP ₹3099,(75% OFF),4.2,75 Ratings,"A pair of pink printed bow detailed LED ballerinas
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Party,Bows,Regular,TPR,
Metro,Women Peach-Coloured Embellished Ethnic T-Strap Flats,₹845,MRP ₹1690,(50% OFF),4.3,103 Ratings,"A pair of peach-coloured t-strap flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Open Toe,Backstrap,Embellished,Ethnic,Ethnic - Embellished,Regular,Resin,1 month
Mochi,Women Black Flats Open Toe Flats,₹819,MRP ₹1490,(45% OFF),4.5,1.1k Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty:",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,,Regular,TPR,
BAESD,Girls Embellished Party Slip-On Ballerinas,₹699,MRP ₹2499,(72% OFF),4.3,93 Ratings,"A pair of cream-coloured block ,has regular ankle and closed back
Synthetic leather woven design upper with ethnic - embellished
Cushioned footbed
Textured and patterend outsole, has a block",Ballerinas,Round Toe,Slip-On,Embellished,Party,Western - Embellished,Regular,TPR,
BOYZ N GALZ,Girls Embellished Bow Detail Ballerinas,₹746,MRP ₹899,(17% OFF),4.2,24 Ratings,"A pair of pink embellished bow detail ballerinas
Upper material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Party,Western - Embellished,Regular,PVC,
DressBerry,Beige Woven Design Open Toe Flats,₹594,MRP ₹1699,(65% OFF),4.3,2.6k Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Slip-On,Woven Design,Casual,,Regular,Rubber,
Mast & Harbour,Women Colourblocked Ballerinas with Bows Flats,₹899,MRP ₹2299,(Rs. 1400 OFF),4.2,1.4k Ratings,"A pair of beige ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Square Toe,Buckle,Colourblocked,Casual,Bows,Mid-Top,TPR,1 month
ADIVER,Textured Open Toe Flats,₹499,MRP ₹1999,(75% OFF),3.7,1.3k Ratings,"A pair of brown open toe flats
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,TPR,
Van Heusen,Embellished One Toe Flats,₹1816,MRP ₹2299,(21% OFF),4.4,37 Ratings,"A pair of black and silver toned one toe flats with western embellishment, has regular styling with slip-on closure
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Rubber,
El Paso,Women Open Toe Flats with Buckles,₹829,MRP ₹2899,(Rs. 2070 OFF),3.9,2.5k Ratings,"A pair of pink open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,EVA,3 months
Van Heusen,Women Metallic Detail Ballerinas,₹1579,MRP ₹1999,(21% OFF),4.4,38 Ratings,"A pair of mauve metallic detail ballerinas, has slip-on closure
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,TPR,
Carlton London,Round Toe Ballerinas with Bows Flats,₹989,MRP ₹1799,(45% OFF),4.4,98 Ratings,"A pair of beige ballerinas with bow
Slip on detail
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand manufacturer",Ballerinas,Round Toe,Slip-On,Solid,Casual,Bows,Regular,TPR,15 days
Mast & Harbour,Green Perforated Open Toe Flats,₹799,MRP ₹2299,(Rs. 1500 OFF),4.1,937 Ratings,"A pair of green perforated open toe flats
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,TPR,1 month
BOYZ N GALZ,Girls Butterfly Detail Round Toe Ballerinas,₹746,MRP ₹899,(17% OFF),4.8,5 Ratings,"A pair of pink butterfly detail round toe ballerinas
Upper material: pu
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Slip-On,Embellished,Casual,Western - Embellished,Regular,PVC,
El Paso,Open Toe Flats,₹799,MRP ₹2899,(Rs. 2100 OFF),3.8,319 Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,EVA,3 months
ADIVER,Buckle Detailed Open Toe Flats,₹499,MRP ₹1999,(75% OFF),3.4,121 Ratings,"A pair of brown buckle detailed open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,TPR,
Metro,Women Rose Gold Ethnic One Toe Flats,₹1014,MRP ₹1690,(40% OFF),4.3,420 Ratings,"A pair of rose gold one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,No Back Strap,Solid,Ethnic,,Regular,TPR,1 month
BAESD,Girls Floral Printed Round Toe LED Light Ballerinas,₹699,MRP ₹2499,(72% OFF),4.2,162 Ratings,"A pair of black ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Printed,Casual,Western - Embellished,Regular,TPR,
Mochi,Women Gold-Toned Embellished Open Toe Flats,₹894,MRP ₹1490,(40% OFF),4,314 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Resin,
KID1,Girls Printed Ethnic Mojaris Flats,₹875,MRP ₹1199,(27% OFF),4.8,6 Ratings,"A pair of multicoloured ballerinas
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
XE Looks,Perforated Doctor Ortho Open Toe Flats,₹974,MRP ₹2499,(61% OFF),4.4,182 Ratings,"A pair of brown and beige doctor ortho open toe flats
Upper material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,PU,
Metro,Women Gold-Toned Embellished Open Toe Flats,₹745,MRP ₹1490,(50% OFF),4.2,1.8k Ratings,"A pair of gold-toned open toe flats
Synthetic upper with slip-on closure
Cushioned footbed
Patterned tpr outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Open Toe Flats,Round Toe,Slip-On,Embellished,Casual,,Regular,TPR,1 month
Mochi,Women Gold-Toned Embellished Ethnic One Toe Flats,₹1014,MRP ₹1690,(40% OFF),4.4,397 Ratings,"A pair of one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,1 month
Vishudh,Women Black Textured Open Toe Flats,₹429,MRP ₹998,(57% OFF),3.9,3.7k Ratings,"A pair of open toe flats
Upper Material: Synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,TPR,1 month
Colo,Women Open Toe Flats,₹619,MRP ₹999,(38% OFF),3.9,58 Ratings,"A pair of black open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Backstrap,Solid,Casual,,Regular,Rubber,
Mochi,Women Black Open Toe Flats,₹968,MRP ₹1490,(35% OFF),4.4,4.4k Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,Western - Embellished,Regular,Rubber,1 month
Mochi,Women Black Textured Ballerinas with Laser Cuts,₹1259,MRP ₹2290,(45% OFF),4.6,654 Ratings,"A pair of ballerinas
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Ballerinas,Round Toe,Slip-On,Textured,Casual,Laser Cuts,Regular,TPR,1 month
BAESD,Girls Woven Design Gladiators Flats,₹699,MRP ₹1999,(65% OFF),4.3,6 Ratings,"A pair of white gladiators
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Gladiators,Round Toe,Slip-On,Solid,Casual,,Mid-Top,PU,
Mochi,Women Black Embellished T-Strap Flats,₹1228,MRP ₹1890,(35% OFF),4.5,184 Ratings,"A pair of black t-strap flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",T-Strap Flats,Peep Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,Resin,1 month
BRISKERS,Women Open Toe Flats with Buckles,₹1250,MRP ₹2499,(Rs. 1249 OFF),4.3,24 Ratings,"A pair of white open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,PU,1 month
CAI,Women Tan Strapped Rivet Flat,₹1310,MRP ₹2299,(43% OFF),4.4,57 Ratings,"A pair of tan embellished open toe flats
PU upper
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,Western - Embellished,Regular,Synthetic,
Anouk,Women Ethnic Embellished One Toe Flats,₹599,MRP ₹1499,(60% OFF),4.2,34 Ratings,"A pair of peach-coloured One Toe Flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",One Toe Flats,Pointed Toe,No Back Strap,Woven Design,Casual,Ethnic - Embellished,Regular,TPR,28 days
Khadims,Girls Open Toe Flats,₹509,MRP ₹599,(15% OFF),4.1,75 Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Velcro,Woven Design,Casual,,Regular,PVC,
CAI,Women Beige Open Toe Flats,₹1203,MRP ₹1399,(14% OFF),4.4,220 Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,,Regular,TPU,1 month
Anouk,Copper-Toned Embellished Open Toe Flats,₹696,MRP ₹1699,(59% OFF),4.1,909 Ratings,"A pair of copper-toned open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
CAI,One Toe Flats With Backstrap,₹1103,MRP ₹1199,(8% OFF),4.3,272 Ratings,"A pair of brown one toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,Synthetic,1 month
Anouk,Laser Cut One Toe Flats,₹647,MRP ₹1799,(64% OFF),4.5,277 Ratings,"A pair of beige laser cut one toe flats
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Solid,Work,Laser Cuts,Regular,TPR,
Kiana House Of Fashion,Women White & Pink Embellished Ethnic Mules Flats,₹639,MRP ₹1599,(60% OFF),4.3,3.4k Ratings,"A pair of white & pink mules
Upper Material: canvas
Cushioned footbed
Textured and patterned outsole",Mules,Round Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
Shoetopia,Women Bow Embellished Colourblocked Mules,₹689,MRP ₹1499,(54% OFF),4,505 Ratings,"A pair of black & beige bow embellished colourblocked mules
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,Buckle,Colourblocked,Casual,Bows,Regular,TPR,
BAESD,Girls Embellished LED Lighting Open Toe Flats,₹624,MRP ₹2499,(75% OFF),4.1,26 Ratings,"A pair of blue open toe flats with velcro strappy closure
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole

Features: 
Cushion insole
Sustainable
Anti-Skid sole
Colourful light
Light weight
Water proof",Open Toe Flats,Open Toe,Velcro,Embellished,Party,Western - Embellished,Regular,PU,
Lavie,T-Strap Flats with Buckles,₹874,MRP ₹2499,(65% OFF),4,246 Ratings,"A pair of bronze-toned t-strap flats with buckles detail
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,EVA,
CAI,Women Multi Strapped Flats,₹1007,MRP ₹1799,(44% OFF),4.2,25 Ratings,"A pair of cream-coloured open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,,Mid-Top,Synthetic,
Anouk,Women Woven Design Embroidered One Toe Flats,₹644,MRP ₹1499,(57% OFF),4.4,151 Ratings,"A pair of red one toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole
Warranty: 28 days
Warranty provided by brand owner/manufacturer",One Toe Flats,Square Toe,No Back Strap,Woven Design,Ethnic,Embroidered,Regular,TPR,28 days
CAI,Women Black Chain Flat,₹1206,MRP ₹1699,(29% OFF),4,192 Ratings,"Product Details - The black chained flats, is a perfect fusion of style and comfort. These chic flats are designed to elevate your everyday look with a touch of sophistication. Crafted with high-quality tan PU material, these flats feature a unique chained detailing that adds a subtle hint of glamour to your ensemble. Style Note - Wear with a chic, patterned wrap dress and a crossbody bag for a stylish and comfortable daytime look.",Open Toe Flats,Open Toe,Slip-On,Solid,Casual,,Regular,TPR,
BAESD,Girls Embellished Printed Party Ballerinas With Bows & LED Lights,₹774,MRP ₹3099,(75% OFF),4.3,299 Ratings,"A pair of grey ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Ankle Loop,Printed,Party,Bows,Regular,TPR,
CASSIEY,Round Toe Flats for women,₹649,MRP ₹999,(Rs. 350 OFF),3.9,688 Ratings,"A pair of blue solid  ballerinas  
Croslite upper
Cushioned footbed
Textured and Croslite patterned outsole",Ballerinas,Round Toe,Slip-On,Solid,Casual,,Regular,Croslite,
Shoetopia,Women Party Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.1,127 Ratings,"A pair of black open toe flats
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Backstrap,Solid,Party,Western - Embellished,Regular,TPR,
Anouk,Floral Embellished Embroidered Open One Toe Flats,₹597,MRP ₹1299,(54% OFF),4.2,4k Ratings,"A pair of tan brown & white one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Embroidered,Regular,TPU,
Lavie,Women Solid Open Toe Flats,₹799,MRP ₹2499,(68% OFF),3.6,119 Ratings,"A pair of cream-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 14 days
Warranty provided by brand owner/manufacturer",Open Toe Flats,Round Toe,Slip-On,Solid,Casual,,Regular,Resin,14 days
Anouk,Embellished One Toe Flats,₹560,MRP ₹1699,(67% OFF),4.2,873 Ratings,"A pair of tan embellished open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Ethnic - Embellished,Regular,TPC,
Picktoes,Embellished Open Toe T-Strap Flats,₹639,MRP ₹1599,(60% OFF),4.1,106 Ratings,"A pair of copper-toned t-strap flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Open Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,Synthetic,
CAI,Geometric canvas tan flats,₹1495,MRP ₹1699,(12% OFF),4.5,89 Ratings,"A pair of tan brown open toe flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,Synthetic,
Shoetopia,Women Black Open Toe Flats,₹599,MRP ₹999,(40% OFF),4,3.3k Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Lace-Ups,Solid,Casual,,Regular,TPR,
Marc Loire,Embellished Open Toe Flats,₹1551,MRP ₹1599,(3% OFF),4.2,143 Ratings,"A pair of cream-coloured open toe 
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Backstrap,Embellished,Casual,Western - Embellished,Regular,Rubber,
Shoetopia,Women Solid Mules,₹689,MRP ₹1499,(54% OFF),4.3,933 Ratings,"A pair of mules
Upper Material: suede
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,Ankle Loop,Solid,Casual,Western - Embellished,Regular,TPR,
Carlton London sports,Open Toe Flats,₹1319,MRP ₹2399,(45% OFF),4.9,11 Ratings,"A pair of peach-coloured open toe flats, backstraps
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,EVA,1 month
BAESD,Girls Party Ballerinas with Buckles Flats,₹749,MRP ₹2999,(75% OFF),4.4,26 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Round Toe,Velcro,Woven Design,Party,Buckles,Regular,TPR,
Forever Glam by Pantaloons,Open Toe Flats,₹679,MRP ₹799,(15% OFF),4.3,18 Ratings,"A pair of pink open toe flats
Upper Material: PU
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,EVA,
Anouk,Embroidered One Toe Flats,₹647,MRP ₹1799,(64% OFF),4.2,115 Ratings,"A pair of gold-toned embroidered one toe flats
Synthetic leather upper
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Embellished,Ethnic,Embroidered,Regular,TPR,
Shoetopia,Embellished Backstrap One Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,789 Ratings,"A pair of beige embellished open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole",One Toe Flats,Open Toe,No Back Strap,Solid,Party,Western - Embellished,Regular,TPR,
Vishudh,Women Gold-Toned Laser Cut Open Toe Flats,₹539,MRP ₹999,(46% OFF),4.2,4.8k Ratings,"A pair of gold-toned open-toed flats, has regular styling, no back strap detail
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Ethnic,Laser Cuts,Regular,PVC,15 days
Van Heusen,Women Mules Flats,₹1494,MRP ₹2299,(35% OFF),4.5,26 Ratings,"A pair of olive green mules, has a backstrap
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",Mules,Pointed Toe,Backstrap,Solid,Work,,Regular,TPR,
Shezone,Women Peach-Coloured Embellished Ethnic Mojaris,₹899,MRP ₹1999,(55% OFF),4.4,4.6k Ratings,"A pair of peach-coloured mojaris
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Embroidered,Regular,TPU,1 month
DressBerry,Beige Textured Open Toe Flats,₹799,MRP ₹2499,(Rs. 1700 OFF),4,657 Ratings,"A pair of beige open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Textured,Casual,,Regular,TPR,
Gibelle,Women Cream-Coloured Embellished Bows Flats,₹594,MRP ₹1699,(65% OFF),4.3,3.1k Ratings,"A pair of cream-coloured
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Open Toe Flats,Square Toe,No Back Strap,Embellished,Casual,Bows,Regular,Rubber,15 days
DressBerry,Black Embellished Open Toe Flats,₹699,MRP ₹2299,(Rs. 1600 OFF),4.2,59 Ratings,"A pair of black open toe flats
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,TPC,
Anouk,Women Embellished Leather Ballerinas,₹1099,MRP ₹2499,(56% OFF),4.6,49 Ratings,"A pair of silver-toned ballerinas
Upper Material: Leather
Cushioned footbed
Textured and patterned outsole",Mojaris,Square Toe,Slip-On,Embellished,Party,Ethnic - Embellished,Regular,TPR,
Mochi,Women Open Toe Flats,₹1494,MRP ₹2490,(40% OFF),3.8,5 Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Square Toe,Velcro,Solid,Casual,,Regular,Synthetic,1 month
Shoetopia,Girls Open Toe Flats,₹799,MRP ₹1999,(60% OFF),4.2,11 Ratings,"A pair of cream-coloured open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Pointed Toe,Buckle,Woven Design,Casual,Western - Embellished,Regular,TPR,
Anouk,Tan Brown & Gold-Toned Embroidered Open Toe Flats,₹589,MRP ₹1299,(Rs. 710 OFF),4.1,1.9k Ratings,"A pair of tan brown & gold-toned embroidered open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Embellished,Ethnic,Embroidered,Regular,PVC,
CAI,Embellished Tan Thong Flat,₹1391,MRP ₹2399,(42% OFF),4.3,23 Ratings,"A pair of tan brown embellished open toe t-straps flats
Upper Material: pu
Cushioned footbed
Textured and patterned outsole",T-Strap Flats,Open Toe,Buckle,Embellished,Casual,Western - Embellished,Regular,Synthetic,
Anouk,Peach-Coloured Printed Open Toe Flats,₹599,MRP ₹2199,(Rs. 1600 OFF),4.2,44 Ratings,"A pair of peach-coloured open toe flats
Upper Material: fabric
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,,Regular,TPR,
Metro,Embellished Open Toe Flats,₹1094,MRP ₹1990,(45% OFF),4.2,1k Ratings,"A pair of black embellished open toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,PU,1 month
BAESD,Girls Embellished Ballerinas,₹749,MRP ₹2999,(75% OFF),4.4,16 Ratings,"A pair of gold-toned embellished LED open toe flats with velcro details
Synthetic upper
Cushioned footbed
Rubber outsole",Ballerinas,Round Toe,Backstrap,Embellished,Party,Western - Embellished,Regular,TPR,
Mochi,Women Pink Printed Open Toe Flats,₹1014,MRP ₹1690,(40% OFF),4.3,685 Ratings,"A pair of open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,,Regular,TPR,1 month
DESI COLOUR,Women Ethnic Embellished Mojaris,₹1190,MRP ₹3500,(66% OFF),4.6,147 Ratings,"A pair of mojaris
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Mojaris,Round Toe,Slip-On,Embellished,Ethnic,Ethnic - Embellished,Regular,TPR,
Shoetopia,Ankle Loop Open Toe Flats With Buckles,₹689,MRP ₹1499,(54% OFF),4.4,14 Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Round Toe,Buckle,Solid,Casual,Buckles,Regular,TPR,
Mochi,Textured One Toe Flats,₹1494,MRP ₹2490,(40% OFF),4.2,85 Ratings,"A pair of brown textured one toe flats
Synthetic upper
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand/manufacturer",One Toe Flats,Open Toe,Slip-On,Textured,Casual,,Regular,TPR,1 month
Carlton London,Open Toe Flats,₹934,MRP ₹1699,(45% OFF),4.4,111 Ratings,"A pair of gold-toned open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 15 days
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Solid,Casual,,Regular,TPR,15 days
HERE&NOW,Gold-Toned & Brown Open One Toe Flats With Buckle Detail,₹823,MRP ₹2495,(67% OFF),3.9,172 Ratings,"A pair of gold-toned & brown one toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 3 months
Warranty provided by brand owner/manufacturer",One Toe Flats,Open Toe,No Back Strap,Solid,Casual,Buckles,Regular,EVA,3 months
Shoetopia,Girls Twisted Open Toe Flats With Backstrap,₹699,MRP ₹1999,(65% OFF),4.1,49 Ratings,"A pair of pink open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole",Open Toe Flats,Open Toe,Backstrap,Solid,Casual,,Regular,TPR,
Mochi,Embellished Open Toe Flats,₹1374,MRP ₹2290,(40% OFF),4,20 Ratings,"A pair of gold-toned open toe flats
Upper material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Western - Embellished,Regular,Resin,1 month
BAESD,Girls Party Velcro Embellished Ballerinas,₹624,MRP ₹2499,(75% OFF),3.9,24 Ratings,"A pair of gold-toned ballerinas
Upper Material: synthetic leather
Cushioned footbed
Textured and patterned outsole",Ballerinas,Pointed Toe,Velcro,Solid,Party,Western - Embellished,Regular,TPR,
Shezone,Ethnic Embellished Open Toe Flats,₹1499,MRP ₹2999,(50% OFF),4.1,319 Ratings,"A pair of pink & white open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Embellished,Casual,Ethnic - Embellished,Regular,Rubber,1 month
Mochi,Women Open Toe Flats With Laser Cuts,₹1488,MRP ₹2290,(35% OFF),4.1,38 Ratings,"A pair of black open toe flats
Upper Material: synthetic
Cushioned footbed
Textured and patterned outsole
Warranty: 1 month
Warranty provided by brand owner/manufacturer",Open Toe Flats,Open Toe,No Back Strap,Printed,Casual,Laser Cuts,Regular,TPR,1 month
